policy_name,mean_reward,std_reward,mean_hit_rate,cascade_rate,mean_prefetch_efficiency,mean_latency_improvement,total_episodes
Adaptive LRU,424.86000000000024,179.85675151816446,0.9889243378867459,0.0,0.0,0.0,30
LFU,424.86000000000024,179.85675151816446,0.9935137149990011,0.0,0.0,0.0,30
Windowed LFU (W=1000),424.86000000000024,179.85675151816446,0.9953952048594,0.0,0.0,0.0,30
Multi-Objective Adaptive,424.86000000000024,179.85675151816446,0.9320314451615714,0.0,0.0,0.0,30
Static Markov,424.86000000000024,179.85675151816446,0.996426949982213,0.0,0.0,0.0,30
Inverse Static Markov,424.86000000000024,179.85675151816446,0.997079888755572,0.0,0.0,0.0,30
Balanced Static Markov,424.86000000000024,179.85675151816446,0.9975306432986087,0.0,0.0,0.0,30
Adaptive Heuristic,423.31000000000023,180.89367844123268,0.9248863273539831,0.0,0.0,0.0,30
LRU,417.6266666666669,180.4724760793798,0.9428967206009499,0.0,0.0,0.0,30
ε-LRU (ε=0.100),368.5433333333336,170.4226621928227,0.9230903350864319,0.0,0.0,0.0,30
Random (Uniform),168.07666666666663,99.90305194982231,0.9613625133466576,0.0,0.0,0.0,30
